Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Netlogon Service (NP-In)	Netlogon Service	All	Yes	Block	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	None	Any	
Netlogon Service Authz (RPC)	Netlogon Service	All	Yes	Block	No	%SystemRoot%\System32\lsass.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Network Discovery (LLMNR-UDP-In)	Network Discovery	Domain, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	5355	Any	Any	Any	Any	Any	None	Any	
Network Discovery (LLMNR-UDP-In)	Network Discovery	Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	5355	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Datagram-In)	Network Discovery	Domain	Yes	Block	No	System	Any	Any	UDP	138	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Datagram-In)	Network Discovery	Private	Yes	Block	No	System	Any	Local subnet	UDP	138	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Datagram-In)	Network Discovery	Public	Yes	Block	No	System	Any	Local subnet	UDP	138	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Name-In)	Network Discovery	Public	Yes	Block	No	System	Any	Local subnet	UDP	137	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Name-In)	Network Discovery	Domain	Yes	Block	No	System	Any	Any	UDP	137	Any	Any	Any	Any	Any	None	Any	
Network Discovery (NB-Name-In)	Network Discovery	Private	Yes	Block	No	System	Any	Local subnet	UDP	137	Any	Any	Any	Any	Any	None	Any	
Network Discovery (Pub-WSD-In)	Network Discovery	Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery (Pub-WSD-In)	Network Discovery	Domain, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery (SSDP-In)	Network Discovery	Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Network Discovery (SSDP-In)	Network Discovery	Domain, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Network Discovery (UPnP-In)	Network Discovery	Domain	Yes	Block	No	System	Any	Any	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Network Discovery (UPnP-In)	Network Discovery	Public	Yes	Block	No	System	Any	Local subnet	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Network Discovery (UPnP-In)	Network Discovery	Private	Yes	Block	No	System	Any	Local subnet	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD Events-In)	Network Discovery	Public	Yes	Block	No	System	Any	Local subnet	TCP	5357	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD Events-In)	Network Discovery	Private	Yes	Block	No	System	Any	Local subnet	TCP	5357	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD Events-In)	Network Discovery	Domain	Yes	Block	No	System	Any	Any	TCP	5357	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD EventsSecure-In)	Network Discovery	Domain	Yes	Block	No	System	Any	Any	TCP	5358	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD EventsSecure-In)	Network Discovery	Private	Yes	Block	No	System	Any	Local subnet	TCP	5358	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD EventsSecure-In)	Network Discovery	Public	Yes	Block	No	System	Any	Local subnet	TCP	5358	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD-In)	Network Discovery	Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD-In)	Network Discovery	Private	Yes	Block	No	%SystemRoot%\system32\dashost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD-In)	Network Discovery	Domain, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery (WSD-In)	Network Discovery	Domain, Public	Yes	Block	No	%SystemRoot%\system32\dashost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Network Discovery for Teredo (SSDP-In)	Network Discovery	Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Network Discovery for Teredo (UPnP-In)	Network Discovery	Public	Yes	Block	No	System	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Performance Logs and Alerts (DCOM-In)	Performance Logs and Alerts	Domain	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Any	TCP	135	Any	Any	Any	Any	Any	None	Any	
Performance Logs and Alerts (DCOM-In)	Performance Logs and Alerts	Private, Public	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Local subnet	TCP	135	Any	Any	Any	Any	Any	None	Any	
Performance Logs and Alerts (TCP-In)	Performance Logs and Alerts	Private, Public	Yes	Block	No	%systemroot%\system32\plasrv.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Performance Logs and Alerts (TCP-In)	Performance Logs and Alerts	Domain	Yes	Block	No	%systemroot%\system32\plasrv.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Proximity sharing over TCP (TCP sharing-In)	Proximity Sharing	All	Yes	Block	No	%SystemRoot%\system32\proximityuxhost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (DCOM-In)	Remote Assistance	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	135	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (PNRP-In)	Remote Assistance	Domain, Private	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Any	UDP	3540	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (PNRP-In)	Remote Assistance	Public	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Any	UDP	3540	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (RA Server TCP-In)	Remote Assistance	Domain	Yes	Block	No	%SystemRoot%\system32\raserver.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (SSDP TCP-In)	Remote Assistance	Domain, Private	Yes	Block	No	System	Any	Local subnet	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (SSDP UDP-In)	Remote Assistance	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (TCP-In)	Remote Assistance	Public	Yes	Block	No	%SystemRoot%\system32\msra.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Assistance (TCP-In)	Remote Assistance	Domain, Private	Yes	Block	No	%SystemRoot%\system32\msra.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Desktop - Shadow (TCP-In)	Remote Desktop	All	Yes	Block	No	%SystemRoot%\system32\RdpSa.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Desktop - User Mode (TCP-In)	Remote Desktop	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	3389	Any	Any	Any	Any	Any	None	Any	
